Case Type,Case Duration (Days),Judge Experience (Years),Number of Witnesses,Legal Fees (USD),Plaintiff's Reputation,Defendant's Wealth (USD),Number of Evidence Items,Number of Legal Precedents,Settlement Offered (USD),Severity,Outcome
Criminal,221,39,18,24306,2,663160,3,1,29014,1,0
Civil,212,14,1,42444,3,252011,67,4,21591,1,0
Civil,47,6,19,21418,1,307309,66,6,25530,3,0
Commercial,358,13,9,45005,3,285111,63,1,28470,1,0
Criminal,33,17,17,36315,2,84229,38,2,38244,2,0
Civil,212,10,19,18851,2,805066,94,7,9490,2,0
Commercial,323,21,16,10520,3,683651,6,1,8264,3,0
Civil,338,21,10,35802,1,397937,47,8,33041,1,0
Commercial,255,22,15,8798,3,786419,70,4,32352,3,0
Commercial,42,35,5,8071,3,265209,80,0,302,1,0
Civil,294,31,13,36311,1,75942,21,0,36665,3,0
Criminal,212,1,2,49497,1,803761,16,0,10923,1,0
Commercial,238,6,6,33213,3,762956,44,7,34926,1,0
Civil,196,5,11,32342,2,653455,97,9,2978,1,0
Criminal,221,35,17,13041,3,830986,13,3,3821,1,0
Civil,108,15,17,21692,3,137106,27,9,41984,1,0
Civil,106,17,9,39755,1,720635,82,9,25379,1,0
Commercial,321,5,11,34534,3,225180,15,5,3061,2,0
Commercial,77,8,17,48638,3,555578,40,5,13197,1,0
Civil,75,27,10,22870,3,724855,77,5,49787,2,0
Civil,161,20,11,27711,2,774502,52,1,35643,2,0
Commercial,242,30,18,40672,1,765811,10,4,11278,2,0
Criminal,171,36,14,49209,1,444249,83,8,13597,2,0
Commercial,201,16,17,42307,2,140022,71,7,11873,2,0
Commercial,55,19,7,6025,1,763166,26,3,35292,2,0
Criminal,261,11,12,27473,2,290028,62,1,39418,3,0
Commercial,214,25,4,46246,2,752953,18,3,13844,2,0
Civil,299,12,16,42546,1,957335,26,3,18345,2,0
Criminal,193,19,7,12675,1,31175,38,4,4188,2,0
Commercial,127,3,8,29985,1,459416,22,4,36244,2,0
Civil,161,30,14,18433,1,447002,71,0,16642,1,0
Commercial,153,10,5,21315,2,800847,74,9,8933,3,0
Criminal,187,32,5,27415,3,557065,66,4,43469,1,0
Civil,83,25,4,16951,3,169688,13,9,4639,1,0
Criminal,273,21,17,9134,1,541284,12,8,42179,2,0
Criminal,138,26,6,46871,1,48646,34,1,34166,1,0
Commercial,177,15,1,7131,1,566125,3,7,28450,1,0
Criminal,310,3,10,19829,2,557596,58,2,30840,1,0
Commercial,219,32,14,8331,2,925322,61,2,44015,1,0
Criminal,260,2,10,39986,2,998828,19,7,7154,2,0
Commercial,231,3,13,28659,3,517641,46,4,40780,2,0
Commercial,65,16,6,39945,2,562898,1,2,24161,1,0
Commercial,362,26,15,11156,2,461965,48,0,27607,2,0
Criminal,254,17,6,7569,1,226515,23,0,3808,3,0
Civil,195,36,9,23321,1,189101,19,8,28158,1,0
Commercial,203,13,11,43715,2,419930,10,6,35768,3,0
Criminal,322,31,6,41645,1,490699,83,7,39477,3,0
Civil,234,39,19,6412,3,996515,54,8,31319,2,0
Criminal,167,37,16,5704,1,454848,12,1,393,1,0
Criminal,229,14,12,5201,1,83719,75,9,32357,1,0
Civil,197,30,12,48965,1,178958,83,0,17264,3,0
Civil,323,30,7,10622,1,744046,90,3,35913,2,0
Commercial,333,34,17,21152,1,535619,32,1,37791,3,0
Civil,165,11,3,28258,1,354932,10,7,45238,1,0
Civil,61,7,9,15789,1,955533,36,9,38443,2,0
Commercial,190,31,17,45669,1,198970,28,7,27535,3,0
Commercial,104,9,10,30813,1,931641,90,4,27607,2,0
Civil,191,11,18,8907,2,282769,7,2,20891,3,0
Civil,119,32,14,29155,3,730560,82,0,49575,1,0
Civil,275,37,17,21914,1,155937,31,8,21998,1,0
Civil,214,37,18,31596,2,160112,32,0,31541,3,0
Civil,250,30,16,21830,1,719963,5,8,39234,2,0
Commercial,70,24,5,49831,1,368042,19,3,12636,2,0
Civil,96,24,1,19603,3,291794,95,9,27054,3,0
Civil,56,1,7,22029,3,948655,19,5,33036,2,0
Commercial,329,18,11,30914,2,572719,74,0,36339,3,0
Civil,44,2,12,20009,2,216856,37,6,12921,1,0
Civil,274,5,1,38609,3,82673,3,9,12467,3,0
Commercial,353,6,15,34501,3,347902,52,2,12543,3,0
Commercial,212,26,7,18650,3,366089,79,5,5093,2,0
Civil,66,8,13,28310,2,737063,25,8,25841,2,0
Civil,131,1,11,26587,3,101735,13,8,29960,1,0
Civil,326,33,4,37719,1,790141,64,1,7604,1,0
Civil,289,14,15,39563,1,135062,41,4,29248,3,0
Civil,262,28,3,21910,2,660947,9,0,37428,1,0
Criminal,335,34,17,49140,3,846020,95,1,29167,2,0
Civil,124,20,1,25539,2,991313,87,4,22042,2,0
Civil,316,16,19,8291,3,383104,57,3,18159,2,0
Civil,292,17,9,32550,1,176131,60,0,918,2,0
Commercial,322,31,6,46157,3,597190,36,4,44650,3,0
Commercial,190,33,8,21595,3,368416,73,7,35894,2,0
Civil,131,37,11,9166,1,868727,81,5,42249,1,0
Civil,121,1,9,27872,2,660743,57,0,2812,3,0
Commercial,148,20,11,48874,1,967072,20,7,16117,2,0
Civil,356,38,1,29597,1,810455,18,9,47093,1,0
Criminal,38,9,2,15194,1,426733,26,5,37023,3,0
Civil,353,34,16,15592,2,210146,39,1,46749,2,0
Commercial,311,14,8,12449,3,143411,6,7,42436,2,0
Commercial,214,25,1,21971,3,600706,18,9,28143,1,0
Commercial,121,39,6,25172,1,531085,65,8,28253,2,0
Civil,153,35,10,41432,3,996022,67,1,17014,1,0
Criminal,76,33,13,8552,1,526492,28,5,22601,1,0
Criminal,276,39,7,6894,3,730084,80,0,45877,1,0
Criminal,84,4,2,18246,2,469452,92,5,41708,2,0
Civil,73,24,14,5032,3,366879,59,8,46728,1,0
Criminal,47,11,16,24336,1,516118,92,1,42005,1,0
Criminal,123,5,13,6506,3,885967,71,1,41367,1,0
Civil,139,8,4,32160,2,256028,60,5,24759,2,0
Civil,34,2,16,30320,1,443730,51,3,8662,2,0
Commercial,185,36,5,28556,3,417802,13,9,45901,2,0
Criminal,132,33,3,17244,3,696862,8,4,5773,2,0
Civil,143,38,11,19598,1,588656,49,7,7678,3,0
Civil,104,23,9,34067,1,804954,25,0,48164,3,0
Civil,117,9,7,42308,3,15798,39,7,7903,2,0
Criminal,127,10,6,41939,2,392558,64,9,7930,3,0
Criminal,102,31,2,6851,1,109321,30,9,3692,1,0
Civil,128,16,13,36285,1,917883,71,4,15416,1,0
Criminal,188,30,9,10007,3,861088,64,3,2483,3,0
Criminal,313,8,5,16749,3,428136,1,8,5332,3,0
Civil,169,3,6,20629,3,678434,74,9,38265,2,0
Commercial,203,3,16,15684,1,321059,61,9,29682,2,0
Civil,293,38,1,6497,2,325091,4,8,49976,2,0
Criminal,212,7,6,42563,1,727597,40,1,12333,3,0
Commercial,243,13,2,10466,1,336033,7,8,27200,1,0
Criminal,340,35,18,49521,1,617698,51,7,22357,1,0
Criminal,140,29,5,40487,2,393931,62,0,43077,1,0
Criminal,254,24,19,20909,2,962664,24,9,20441,3,0
Commercial,323,4,8,13049,1,269615,86,5,40897,1,0
Commercial,321,28,15,8195,2,546584,19,7,17296,1,0
Criminal,32,23,4,43562,3,244242,46,3,49203,1,0
Civil,312,10,11,42989,1,481956,90,8,3903,1,0
Civil,253,6,5,19153,1,180269,60,3,35005,2,0
Civil,185,20,5,34696,2,967871,33,7,39912,3,0
Civil,277,33,17,15915,2,155380,34,8,4378,1,0
Civil,321,12,16,32861,3,204454,36,0,19228,2,0
Civil,285,16,17,15059,2,361144,54,5,18549,2,0
Criminal,53,8,19,27936,2,877228,51,7,22593,2,0
Criminal,187,6,19,24005,2,405855,46,9,17246,3,0
Criminal,196,8,12,13452,1,256050,50,8,22722,2,0
Civil,329,10,2,8860,3,544464,75,3,49799,2,0
Commercial,235,14,2,27437,1,657286,35,8,31363,3,0
Commercial,196,17,3,49442,2,509361,95,3,43630,3,0
Criminal,153,36,16,34454,2,145910,50,0,31054,3,0
Commercial,334,15,17,7653,1,626957,48,8,7018,1,0
Civil,360,37,15,12894,2,705919,97,1,837,1,0
Criminal,222,15,15,40285,2,661223,46,9,566,2,0
Criminal,131,38,8,40478,3,657746,57,5,59,3,0
Civil,295,12,9,15152,1,44636,24,0,48854,3,0
Criminal,248,29,6,20486,2,897634,42,4,30930,1,0
Commercial,220,31,5,11748,2,215120,95,9,35741,1,0
Commercial,195,13,4,39198,2,768244,72,9,12859,2,0
Commercial,60,10,16,39376,1,786752,24,7,21206,2,0
Criminal,328,17,12,35537,1,590696,54,7,7831,2,0
Criminal,212,1,19,14883,1,928883,70,6,24337,1,0
Criminal,285,16,8,31462,1,42534,60,2,44035,2,0
Commercial,323,22,15,48502,2,633279,45,4,6785,1,0
Criminal,256,23,18,43179,1,730386,27,1,22071,1,0
Civil,334,39,16,42349,2,956291,76,8,6141,1,0
Criminal,140,12,13,8649,2,476862,1,0,5545,2,0
Criminal,327,22,1,36936,2,306101,44,5,5029,1,0
Criminal,246,11,19,25469,3,263581,38,7,20050,2,0
Criminal,136,22,11,38746,2,668890,5,4,31043,2,0
Criminal,350,28,4,7750,2,237420,50,6,13259,1,0
Civil,308,36,8,13959,3,237902,83,5,6604,2,0
Criminal,83,2,18,44615,1,559473,69,5,39457,1,0
Civil,295,17,10,44096,1,831907,82,9,33833,3,0
Civil,288,16,18,6286,1,994317,2,7,8291,2,0
Criminal,197,32,7,29382,3,746009,83,1,19557,1,0
Civil,166,24,15,34634,2,605958,59,8,39939,1,0
Commercial,61,16,4,32296,3,866949,50,7,40410,1,0
Commercial,251,29,14,28852,3,507426,40,6,27614,2,0
Commercial,229,31,17,32083,2,474725,10,1,41620,1,0
Civil,172,34,13,5223,2,903831,31,5,35781,1,0
Civil,90,35,13,8080,3,479521,70,8,18081,2,0
Civil,339,3,3,27447,1,756119,17,8,15102,1,0
Commercial,306,18,15,11900,3,660445,36,2,5037,3,0
Commercial,146,38,14,28701,1,665786,75,8,19269,3,0
Civil,294,19,12,29636,1,965127,52,0,49430,2,0
Commercial,346,12,1,25462,2,726813,38,6,16939,3,0
Commercial,309,8,12,44605,3,987062,56,2,34990,1,0
Commercial,72,28,18,15478,3,780438,5,0,1877,1,0
Criminal,95,35,3,43005,3,820592,67,1,46238,3,0
Civil,146,19,3,27899,3,575697,89,3,16075,2,0
Commercial,35,34,6,26159,2,504584,20,5,20711,2,0
Commercial,70,4,9,15404,3,144719,63,7,30868,1,0
Civil,303,12,18,49552,3,708665,26,8,17440,2,0
Civil,178,23,5,41333,3,533638,71,9,22291,1,0
Civil,263,24,16,8438,2,323360,11,3,13144,2,0
Criminal,131,22,10,26594,1,491648,9,8,48914,2,0
Commercial,50,26,1,38571,1,656748,7,4,4472,3,0
Commercial,202,22,5,20800,1,329131,11,8,25872,1,0
Civil,214,29,14,31181,1,105401,84,1,19723,3,0
Criminal,67,19,7,22758,2,447554,6,6,1796,3,0
Commercial,314,6,14,11264,1,357598,28,8,20566,2,0
Commercial,216,20,1,39676,1,146771,85,9,37407,1,0
Commercial,127,21,6,47938,1,531670,7,9,21827,2,0
Civil,264,37,4,7215,1,614261,4,7,13748,3,0
Criminal,148,5,4,39061,1,785547,40,8,26717,1,0
Criminal,339,22,19,5915,1,900403,3,6,49418,1,0
Criminal,213,21,9,34875,1,476618,11,2,45737,3,0
Criminal,351,23,18,32414,3,404187,72,7,16253,3,0
Criminal,209,15,14,49819,3,247779,75,6,10731,1,0
Commercial,30,21,18,20404,1,724427,83,6,4222,1,0
Civil,74,35,15,5319,3,52864,34,4,36947,1,0
Commercial,175,33,12,15870,2,379314,10,3,3815,2,0
Commercial,224,9,1,22779,3,463084,28,7,258,3,0
Criminal,164,29,14,14944,1,421387,61,9,4961,1,0
Civil,66,20,9,44153,2,652616,11,1,5700,2,0
Civil,221,4,18,32428,2,611919,28,6,22754,3,0
Civil,256,3,7,22988,3,694247,97,4,33613,3,0
